invoice_id,account_id,amount_eur,due_date,status,items_summary
INV-2024-001,ACC-2024-001,4500,2024-11-15,Paid,"Platform License Q4 (3000), Implementation (1500)"
INV-2024-002,ACC-2024-001,4500,2025-02-15,Draft,"Platform License Q1 (4500)"
INV-2024-003,ACC-2024-002,2100,2024-12-01,Overdue,"Growth Plan Subscription (2100)"
INV-2024-004,ACC-2024-003,5200,2024-11-30,Paid,"Enterprise Plan (5000), Support Addon (200)"
INV-2024-005,ACC-2024-004,1800,2024-12-20,Sent,"Healthcare Compliance Pack (1000), Seat Licenses (800)"
INV-2024-006,ACC-2024-005,850,2025-01-01,Draft,"Startup Plan Monthly (850)"
INV-2024-007,ACC-2024-006,3800,2024-11-10,Paid,"Enterprise Custom (3800)"
INV-2024-008,ACC-2024-006,500,2024-11-25,Overdue,"Late Payment Fee (500)"
INV-2024-009,ACC-2024-007,1200,2024-12-31,Sent,"Growth Plan Q1 Prepay (1200)"
INV-2024-010,ACC-2024-008,6500,2024-10-31,Paid,"Global Enterprise License (6500)"
INV-2024-011,ACC-2024-008,6500,2025-01-31,Sent,"Global Enterprise License Renewal (6500)"
INV-2024-012,ACC-2024-009,950,2024-12-05,Paid,"Marketing Suite Addon (950)"
INV-2024-013,ACC-2024-010,2400,2024-11-30,Paid,"Security Audit Pack (2400)"
INV-2024-014,ACC-2024-003,450,2024-12-15,Sent,"Extra Training Session (450)"
INV-2024-015,ACC-2024-002,2100,2025-03-01,Draft,"Growth Plan Renewal (2100)"
